"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",67648,"health","off_brand",3.5,12,33,42.3,852
"2",120421,"other","off_brand",4.5,10,16,54.3,1045
"3",95242,"toys","off_brand",2.9,6,25,88.2,1461
"4",105632,"health","off_brand",2.6,8,NA,5,1579
"5",221627,"toys","off_brand",4.9,11,25,57,2643
"6",55492,"other","off_brand",3.6,8,19,40.8,915
"7",187289,"health","premium",4.4,6,26,35.7,3230
"8",70017,"other","premium",3.9,15,NA,19.2,1081
"9",158103,"health","premium",3.3,7,NA,15.5,3043
"10",80331,"health","off_brand",3.2,8,33,84,1306
"11",59874,"health","off_brand",3.2,4,18,44.1,972
"12",101905,"health","premium",4.6,7,18,35.8,1122
"13",72083,"toys","premium",3.5,7,21,62.7,943
"14",144578,"health","off_brand",4.2,5,34,62.6,901
"15",213073,"health","off_brand",4.3,18,24,54.4,2461
"16",213269,"health","premium",4.3,4,39,56.3,2959
"17",230353,"toys",NA,4.8,1,23,100.8,2695
"18",130391,"health","premium",3.5,5,NA,68.3,2766
"19",97003,"health","off_brand",4.2,4,31,36.6,1643
"20",211784,"toys","off_brand",4.3,14,NA,67,2967
"21",108569,"toys","off_brand",3.5,203,18,67,1342
"22",221029,"health","premium",4.6,23,22,57.5,2924
"23",187855,"health","off_brand",4.7,24,21,47.6,1135
"24",57480,"toys","off_brand",3.7,5,12,64.4,903
"25",178414,"health","off_brand",4.4,13,NA,64.8,1722
"26",146040,"other","off_brand",4.8,224,11,41.9,873
"27",218157,"toys","off_brand",4.8,6,28,42.3,2753
"28",54030,"health","premium",3.7,5,19,24.2,884
"29",169820,"health","premium",4.4,17,20,58.3,2463
"30",162205,"toys","premium",4.9,10,21,39.2,1034
"31",159019,"toys","off_brand",4.9,11,23,38.8,1661
"32",130225,"other","premium",4.2,3,18,33.7,2457
"33",174958,"toys","off_brand",4.7,8,29,42.1,2366
"34",173824,"toys","off_brand",2.9,8,26,66.6,3718
"35",194189,"food",NA,4.5,1,19,48,2422
"36",220727,"health","off_brand",4.3,17,20,78.2,2415
"37",193010,"toys","off_brand",4.5,6,27,61.4,1761
"38",142223,"food","off_brand",4.7,3,12,19.6,1086
"39",148887,"other","premium",4.7,5,17,45.2,964
"40",80745,"toys","off_brand",4,16,27,42.8,1303
"41",60215,"health","premium",3.8,11,22,53,1049
"42",144000,"health","off_brand",4.1,19,25,47.4,1814
"43",199433,"toys","off_brand",4.4,6,24,80.3,3227
"44",256613,"toys","off_brand",4.8,8,12,57.4,2997
"45",152348,"health","off_brand",3.9,2,15,5,2458
"46",110226,"other","off_brand",3.9,4,18,61.5,1423
"47",212680,"health","premium",4.9,8,13,19.5,1931
"48",190787,"toys",NA,4.2,16,28,54.7,1699
"49",169411,"health","premium",4.4,10,11,56.1,2859
"50",89651,"toys","premium",3.2,5,10,58.2,1585
"51",193683,"health","off_brand",4.7,12,NA,17.5,2122
"52",169228,"health","off_brand",4.8,9,29,53.2,1016
"53",89687,"toys","off_brand",4,2,26,87,1251
"54",226334,"toys","off_brand",4.6,13,28,78,3087
"55",125312,"health","off_brand",3.8,5,29,40.1,2583
"56",86913,"other","off_brand",4.1,12,10,36.8,1078
"57",103391,"toys","off_brand",4,3,28,89.8,2092
"58",206407,"toys",NA,4.9,13,11,38.1,2557
"59",245655,"health","premium",4.8,13,20,73.2,2975
"60",124276,"other","off_brand",4.3,9,18,70.9,1845
"61",202189,"toys","off_brand",4.9,3,22,87.4,2954
"62",146702,"other",NA,4.3,7,17,40.7,2505
"63",134161,"health",NA,4.4,4,7,27.2,859
"64",98800,"health","off_brand",4.4,3,15,74.4,857
"65",199710,"health","off_brand",4,12,17,55.1,2637
"66",165799,"health","off_brand",4.7,17,19,80.8,960
"67",209389,"toys","off_brand",4.6,9,12,48.5,3029
"68",150848,"health","off_brand",4.2,8,30,32.3,1825
"69",202265,"toys","premium",4.3,4,25,60.2,3077
"70",189658,"health","off_brand",3.9,8,17,20.2,3177
"71",76568,"toys","off_brand",3.1,18,20,74.8,1048
"72",127535,"toys",NA,4.4,5,16,61.1,1124
"73",227668,"health","premium",4.7,8,17,53.5,2328
"74",186273,"toys","off_brand",4.7,6,26,77.1,2132
"75",106016,"toys",NA,3.5,5,19,76.8,2043
"76",136741,"toys","premium",4.8,4,17,NA,981
"77",60918,"toys","premium",2.7,9,14,12.2,1004
"78",176633,"health","off_brand",4.1,4,21,42.5,2578
"79",123321,"toys","off_brand",4.1,15,22,87.6,2262
"80",143214,"health","premium",4.1,11,20,NA,1735
"81",158239,"toys","off_brand",4.5,6,13,82,1835
"82",203245,"health","off_brand",4.4,7,20,44.8,2675
"83",115941,"toys","off_brand",4.2,10,22,28.5,1140
"84",89422,"other","off_brand",2.8,10,NA,39.8,854
"85",124016,"food","premium",4.4,3,24,40,1159
"86",143011,"toys","off_brand",4.5,6,18,63.2,983
"87",64892,"other","off_brand",3.4,5,24,59,987
"88",92343,"health","off_brand",3.4,12,14,29.9,1199
"89",145424,"toys","premium",4.7,14,11,54.9,1353
"90",186634,"food","premium",4.5,7,22,52.3,3118
"91",128516,"food","off_brand",4.8,3,18,48.6,1132
"92",49482,"toys","off_brand",3.5,9,37,84.9,1146
"93",156382,"toys","off_brand",4.8,10,10,42,950
"94",38877,"food","premium",3.2,193,17,67.5,654
"95",131602,"toys","premium",4,23,14,77.9,1016
"96",114808,"toys","off_brand",4.5,2,19,80.7,988
"97",89371,"other","premium",3.9,7,29,5,953
"98",182120,"toys","off_brand",4.7,14,6,71.2,1014
"99",104608,"toys",NA,4.2,14,17,80.3,1196
"100",108565,"toys","premium",3.8,1,8,28.1,1612
"101",110415,"health","off_brand",3.7,12,28,34.5,867
"102",123408,"other","premium",3.4,12,19,61.6,1914
"103",103581,"toys","premium",3.8,6,23,40.8,1736
"104",111328,"health","premium",4.3,8,23,66.7,1191
"105",103302,"other","premium",2.4,5,34,50.7,2032
"106",120238,"health","premium",4.4,10,18,60.2,1056
"107",184780,"toys","premium",3.9,1,22,46.6,4247
"108",212053,"food","premium",4.5,8,14,54.5,2767
"109",189031,"health","off_brand",4.4,160,22,62,2548
"110",99686,"health","off_brand",4.6,12,11,39.4,977
"111",141102,"health","off_brand",4.4,4,29,12,1832
"112",165344,"toys","off_brand",4.3,1,16,61.1,2899
"113",51620,"toys","premium",3.9,5,27,NA,891
"114",144421,"health","premium",4.6,2,25,48.3,2311
"115",181784,"food","off_brand",4.7,5,6,78.3,1721
"116",204865,"toys","off_brand",4.5,4,NA,69.1,2349
"117",115191,"health","off_brand",4.3,3,20,46.2,1237
"118",163909,"other","premium",4.8,5,23,59.2,1912
"119",176475,"health","off_brand",4.2,11,12,50.6,2749
"120",202250,"toys","premium",4.8,14,NA,76.9,2406
"121",146796,"toys","premium",4.7,7,20,28.4,1648
"122",226754,"toys","premium",4.4,16,22,58.1,3336
"123",168163,"other","off_brand",4.5,16,29,51.8,1427
"124",242740,"toys","off_brand",4.4,13,17,73.7,3611
"125",197347,"health","off_brand",4.2,10,20,27.3,1983
"126",111510,"other","off_brand",4.2,6,24,44.2,844
"127",103167,"toys","off_brand",4,13,27,51.1,1231
"128",231926,"toys","off_brand",4.4,22,8,75.7,2823
"129",192990,"other","off_brand",4.2,4,28,68.3,3485
"130",226808,"food","premium",4.4,9,17,11.2,3386
"131",176486,"other","premium",4.6,4,13,36.3,1816
"132",160410,"other","off_brand",4.4,1,23,69,2704
"133",89171,"toys","off_brand",4.3,2,11,13.9,911
"134",130034,"toys","off_brand",4.7,10,13,39.2,800
"135",152428,"other","off_brand",4.9,3,27,34.9,1313
"136",164646,"toys","off_brand",4.5,3,13,36,2185
"137",199364,"health","off_brand",4.8,0,15,60.4,2808
"138",94008,"health","premium",4.2,8,12,66.6,579
"139",165116,"health","off_brand",4.7,6,NA,52,984
"140",252215,"health","off_brand",4.5,9,1,33.9,2758
"141",131021,"health","premium",2.8,5,19,21.3,2755
"142",202507,"toys","premium",3.4,15,6,33.1,3449
"143",211036,"health","off_brand",4.6,6,26,42.6,2529
"144",158674,"health","off_brand",4.6,6,9,29.4,886
"145",80284,"health","premium",2.8,14,9,59.3,907
"146",95363,"toys","off_brand",3.9,8,26,109.4,792
"147",197969,"food","premium",4.2,2,31,49.6,3308
"148",165368,"health","off_brand",3.7,2,17,45.4,4179
"149",101130,"health","off_brand",3.8,16,23,13.1,1034
"150",93212,"other","premium",4.3,6,NA,42.4,703
"151",153982,"health","premium",4.1,12,17,60.9,1656
"152",182769,"other","off_brand",4.9,10,23,31.2,1388
"153",103931,"health","off_brand",3.5,6,NA,18.6,1013
"154",150074,"health","premium",4.9,7,4,34,1072
"155",195523,"food","off_brand",4.6,5,15,55.7,1713
"156",181840,"food","off_brand",4.3,9,18,72.5,1704
"157",110937,"health","off_brand",4.3,2,20,81.1,1148
"158",169363,"food","off_brand",4.6,5,12,50.6,1013
"159",82764,"other","premium",3.8,4,14,14.1,994
"160",113068,"toys","off_brand",4.2,10,22,86.7,582
"161",118595,"health","off_brand",3,4,27,63.3,2196
"162",137345,"health",NA,3.5,10,20,18.7,2253
"163",92790,"health","off_brand",4.1,5,17,62.1,927
"164",171264,"other","off_brand",4.6,3,18,47.1,1231
"165",104500,"health","premium",3.9,6,17,76.9,1940
"166",119033,"other","off_brand",4.4,13,24,69.2,1299
"167",15055,"toys","premium",3.4,3,28,35.3,892
"168",137674,"toys","off_brand",4.5,6,16,74.7,1436
"169",90566,"other","off_brand",4.2,1,17,68.8,1435
"170",142942,"food","off_brand",3.9,10,NA,45.3,1505
"171",219785,"health","off_brand",4.4,10,6,48,2877
"172",158941,"food","premium",4.5,5,21,44.4,2029
"173",56833,"toys","off_brand",4.4,4,18,64,664
"174",176587,"food","premium",4.1,16,30,52.3,2474
"175",103980,"toys","off_brand",3.7,5,21,90.5,2587
"176",89086,"health",NA,3.7,5,16,34.4,788
"177",125901,"health","off_brand",3,14,16,35.9,2680
"178",217381,"toys",NA,4.6,21,26,45.4,2759
"179",165338,"toys",NA,3.8,2,8,38.8,3075
"180",141206,"other","off_brand",4.5,3,21,80.5,1068
"181",157544,"other","off_brand",4.1,16,19,61.8,2365
